IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.87.103.78,19527,443,true,HKG,Asia Pacific,Hong Kong,18,9.67
38.207.129.229,34630,443,true,LAX,North America,Los Angeles,161,8.33
38.207.132.192,31301,443,true,HKG,Asia Pacific,Hong Kong,58,7.35
38.207.129.229,17889,443,true,LAX,North America,Los Angeles,162,7.00
38.207.132.92,47509,443,true,HKG,Asia Pacific,Hong Kong,51,5.84
38.207.132.177,50625,443,true,HKG,Asia Pacific,Hong Kong,43,4.89
38.207.132.250,34694,443,true,HKG,Asia Pacific,Hong Kong,42,4.59
38.207.132.92,14088,443,true,HKG,Asia Pacific,Hong Kong,57,4.54
38.207.132.173,15641,443,true,HKG,Asia Pacific,Hong Kong,43,4.05
38.207.132.250,41482,443,true,HKG,Asia Pacific,Hong Kong,51,3.80
38.207.132.209,47761,443,true,HKG,Asia Pacific,Hong Kong,46,3.53
38.207.132.209,22153,443,true,HKG,Asia Pacific,Hong Kong,40,3.47
38.207.132.92,33463,443,true,HKG,Asia Pacific,Hong Kong,59,3.40
38.207.132.2,21333,443,true,HKG,Asia Pacific,Hong Kong,56,3.36
38.207.132.173,45448,443,true,HKG,Asia Pacific,Hong Kong,48,3.29
38.207.132.92,30216,443,true,HKG,Asia Pacific,Hong Kong,52,2.79
38.207.132.2,29149,443,true,HKG,Asia Pacific,Hong Kong,49,2.76
38.207.132.209,35799,443,true,HKG,Asia Pacific,Hong Kong,50,2.75
38.207.132.173,51846,443,true,HKG,Asia Pacific,Hong Kong,46,2.68
38.207.132.173,52273,443,true,HKG,Asia Pacific,Hong Kong,44,2.45
38.207.132.209,45804,443,true,HKG,Asia Pacific,Hong Kong,43,2.33
38.207.132.92,18241,443,true,HKG,Asia Pacific,Hong Kong,45,2.30
38.207.132.192,11499,443,true,HKG,Asia Pacific,Hong Kong,54,1.68
38.207.132.92,43678,443,true,HKG,Asia Pacific,Hong Kong,33,1.54
38.207.132.173,13564,443,true,HKG,Asia Pacific,Hong Kong,47,1.39
38.207.129.143,39966,443,true,LAX,North America,Los Angeles,161,0.59
38.207.129.143,53606,443,true,LAX,North America,Los Angeles,164,0.36
38.207.132.192,28141,443,true,HKG,Asia Pacific,Hong Kong,55,0.00
